panel,supplier,term,basis,series,horizon_days,start_dates_with_target_in_study,exact_pairs,unchanged_endpoints,changed_endpoints,complete_daily_windows,no_observed_change_complete,observed_change_complete,returned_to_start_complete
same_id,Alajärven Sähkö Oy,24,observed_seller_data,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,14,4,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,30,4,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,45,4,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,60,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,90,0,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,tevygl-alajarven-sahko-oy-yleissahko-24-kk,7,56,49,49,0,49,49,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,tevygl-alajarven-sahko-oy-yleissahko-24-kk,14,56,42,42,0,42,42,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,tevygl-alajarven-sahko-oy-yleissahko-24-kk,30,56,26,26,0,26,26,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,tevygl-alajarven-sahko-oy-yleissahko-24-kk,45,56,11,11,0,11,11,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,tevygl-alajarven-sahko-oy-yleissahko-24-kk,60,56,0,0,0,0,0,0,0
same_id,Alajärven Sähkö Oy,24,observed_seller_data,tevygl-alajarven-sahko-oy-yleissahko-24-kk,90,56,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,7,1,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,14,1,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,30,1,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,45,1,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,60,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,90,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,yuz5hv-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,7,2,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,yuz5hv-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,14,2,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,yuz5hv-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,30,2,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,yuz5hv-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,45,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,yuz5hv-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,60,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,canonical_calculation,yuz5hv-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,90,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,d8codr-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,7,3,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,d8codr-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,14,3,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,d8codr-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,30,3,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,d8codr-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,45,3,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,d8codr-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,60,3,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,d8codr-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,90,3,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,dwwsck-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,7,35,28,28,0,28,28,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,dwwsck-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,14,35,21,21,0,21,21,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,dwwsck-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,30,35,5,5,0,5,5,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,dwwsck-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,45,35,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,dwwsck-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,60,35,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,dwwsck-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,90,6,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi,7,30,23,23,0,23,23,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi,14,30,16,16,0,16,16,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi,30,30,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi,45,30,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi,60,30,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi,90,30,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,7,30,23,23,0,23,23,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,14,30,16,16,0,16,16,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,30,30,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,45,30,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,60,30,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,90,30,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,nwouc3-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,7,6,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,nwouc3-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,14,6,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,nwouc3-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,30,6,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,nwouc3-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,45,6,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,nwouc3-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,60,1,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,nwouc3-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,90,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,7,4,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,14,4,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,30,4,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,45,4,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,60,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,6,observed_seller_data,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,90,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,12,canonical_calculation,bxoqen-cheap-energy-finland-oy-cheap-maaraaikainen-12-kk,7,4,2,2,0,2,2,0,0
same_id,Cheap Energy Finland Oy,12,canonical_calculation,bxoqen-cheap-energy-finland-oy-cheap-maaraaikainen-12-kk,14,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,12,canonical_calculation,bxoqen-cheap-energy-finland-oy-cheap-maaraaikainen-12-kk,30,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,12,canonical_calculation,bxoqen-cheap-energy-finland-oy-cheap-maaraaikainen-12-kk,45,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,12,canonical_calculation,bxoqen-cheap-energy-finland-oy-cheap-maaraaikainen-12-kk,60,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,12,canonical_calculation,bxoqen-cheap-energy-finland-oy-cheap-maaraaikainen-12-kk,90,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,a9robz-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,7,26,21,21,0,21,21,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,a9robz-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,14,19,14,14,0,14,14,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,a9robz-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,30,3,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,a9robz-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,45,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,a9robz-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,60,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,a9robz-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,90,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,7,10,3,3,0,3,3,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,14,10,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,30,10,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,45,4,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,60,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,cjnnmf-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,90,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,timrj1-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk,7,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,timrj1-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk,14,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,timrj1-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk,30,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,timrj1-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk,45,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,timrj1-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk,60,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,timrj1-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk,90,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,w4lvzl-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,7,8,1,1,0,1,1,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,w4lvzl-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,14,8,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,w4lvzl-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,30,8,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,w4lvzl-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,45,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,w4lvzl-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,60,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,w4lvzl-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,90,0,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,7,12,5,5,0,5,5,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,14,12,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,30,12,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,45,12,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,60,12,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,02t8fp-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,90,12,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,7,21,14,14,0,14,14,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,14,21,7,7,0,7,7,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,30,21,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,45,21,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,60,21,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,ai4ivq-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,90,21,0,0,0,0,0,0,0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,astury-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk,7,5,0,0,0,0,0,0,0
