panel,supplier,term,basis,series,series_at_least_two_dates,series_no_observed_change,no_change_multi_date_series,observed_dates,adjacent_pairs,adjacent_energy_changes,gap_bounded_energy_changes,adjacent_fee_comparable_pairs,adjacent_fee_changes,adjacent_discount_flag_changes,energy_changes_discount_at_either,spells,left_censored,right_censored,completed_intervals,interval_p25,interval_median,interval_p75,interval_p90,observed_constant_days_median
same_id,Hehku Energia Oy,24,canonical_calculation,5,5,5,5,96,91,0,0,91,0,0,0,5,5,5,0,,,,,7.0
same_id,Hehku Energia Oy,24,observed_seller_data,14,14,14,14,221,207,0,0,207,0,0,0,14,14,14,0,,,,,11.5
same_id,Helen Oy,6,canonical_calculation,9,8,9,8,47,38,0,0,38,0,0,0,9,9,9,0,,,,,6.0
same_id,Helen Oy,6,observed_seller_data,16,16,16,16,110,94,0,0,94,0,0,0,16,16,16,0,,,,,7.0
same_id,Helen Oy,12,canonical_calculation,9,8,9,8,47,38,0,0,38,0,0,0,9,9,9,0,,,,,6.0
same_id,Helen Oy,12,observed_seller_data,14,14,14,14,110,96,0,0,96,0,0,0,14,14,14,0,,,,,7.0
same_id,Helen Oy,24,canonical_calculation,8,7,8,7,47,39,0,0,39,0,0,0,8,8,8,0,,,,,6.0
same_id,Helen Oy,24,observed_seller_data,15,15,15,15,110,95,0,0,95,0,0,0,15,15,15,0,,,,,7.0
same_id,Imatran Seudun Sähkö Oy,6,canonical_calculation,10,9,10,9,47,37,0,0,37,0,0,0,10,10,10,0,,,,,4.5
same_id,Imatran Seudun Sähkö Oy,6,observed_seller_data,9,9,9,9,110,101,0,0,101,0,0,0,9,9,9,0,,,,,9.0
same_id,Imatran Seudun Sähkö Oy,12,canonical_calculation,7,6,7,6,48,41,0,0,41,0,0,0,7,7,7,0,,,,,8.0
same_id,Imatran Seudun Sähkö Oy,12,observed_seller_data,11,10,11,10,110,99,0,0,99,0,0,0,11,11,11,0,,,,,9.0
same_id,Imatran Seudun Sähkö Oy,24,canonical_calculation,10,8,10,8,47,37,0,0,37,0,0,0,10,10,10,0,,,,,3.5
same_id,Imatran Seudun Sähkö Oy,24,observed_seller_data,11,10,11,10,114,103,0,0,103,0,0,0,11,11,11,0,,,,,7.0
same_id,Keravan Energia Oy,6,canonical_calculation,6,6,6,6,48,42,0,0,42,0,0,0,6,6,6,0,,,,,4.0
same_id,Keravan Energia Oy,6,observed_seller_data,9,9,9,9,110,101,0,0,101,0,0,0,9,9,9,0,,,,,7.0
same_id,Keravan Energia Oy,12,canonical_calculation,11,11,11,11,97,86,0,0,86,0,0,0,11,11,11,0,,,,,6.0
same_id,Keravan Energia Oy,12,observed_seller_data,14,14,14,14,296,282,0,0,282,0,0,0,14,14,14,0,,,,,17.5
same_id,Keravan Energia Oy,24,canonical_calculation,16,16,16,16,94,78,0,0,78,0,0,0,16,16,16,0,,,,,2.5
same_id,Keravan Energia Oy,24,observed_seller_data,11,11,11,11,220,209,0,0,209,0,0,0,11,11,11,0,,,,,23.0
same_id,Koillis-Satakunnan Sähkö Oy,12,canonical_calculation,8,6,8,6,94,86,0,0,86,0,0,0,8,8,8,0,,,,,9.0
same_id,Koillis-Satakunnan Sähkö Oy,12,observed_seller_data,8,8,8,8,220,212,0,0,212,0,0,0,8,8,8,0,,,,,24.0
same_id,Koillis-Satakunnan Sähkö Oy,24,canonical_calculation,4,3,4,3,46,42,0,0,42,0,0,0,4,4,4,0,,,,,8.5
same_id,Koillis-Satakunnan Sähkö Oy,24,observed_seller_data,5,5,5,5,110,105,0,0,105,0,0,0,5,5,5,0,,,,,14.0
same_id,Kokkolan Energia Oy,6,canonical_calculation,8,8,8,8,49,41,0,0,41,0,0,0,8,8,8,0,,,,,6.0
same_id,Kokkolan Energia Oy,6,observed_seller_data,9,9,9,9,191,182,0,0,182,0,0,0,9,9,9,0,,,,,16.0
same_id,Kokkolan Energia Oy,12,canonical_calculation,5,5,5,5,49,44,0,0,44,0,0,0,5,5,5,0,,,,,6.0
same_id,Kokkolan Energia Oy,12,observed_seller_data,4,4,4,4,110,106,0,0,106,0,0,0,4,4,4,0,,,,,21.5
same_id,Kokkolan Energia Oy,24,canonical_calculation,5,5,5,5,49,44,0,0,44,0,0,0,5,5,5,0,,,,,4.0
same_id,Kokkolan Energia Oy,24,observed_seller_data,6,6,6,6,110,104,0,0,104,0,0,0,6,6,6,0,,,,,17.0
same_id,Korpelan Energia Oy,12,canonical_calculation,4,4,4,4,47,43,0,0,43,0,0,0,4,4,4,0,,,,,7.5
same_id,Korpelan Energia Oy,12,observed_seller_data,5,5,5,5,110,105,0,0,105,0,0,0,5,5,5,0,,,,,15.0
same_id,Korpelan Energia Oy,24,canonical_calculation,2,2,2,2,12,10,0,0,10,0,0,0,2,2,2,0,,,,,6.0
same_id,Köyliön-Säkylän Sähkö Oy,12,canonical_calculation,3,3,3,3,49,46,0,0,46,0,0,0,3,3,3,0,,,,,12.0
same_id,Köyliön-Säkylän Sähkö Oy,12,observed_seller_data,3,3,3,3,111,108,0,0,108,0,0,0,3,3,3,0,,,,,10.0
same_id,Köyliön-Säkylän Sähkö Oy,24,canonical_calculation,3,3,3,3,49,46,0,0,46,0,0,0,3,3,3,0,,,,,12.0
same_id,Köyliön-Säkylän Sähkö Oy,24,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,9.0
same_id,Lammaisten Energia Oy,6,observed_seller_data,1,1,1,1,27,26,0,0,26,0,0,0,1,1,1,0,,,,,27.0
same_id,Lammaisten Energia Oy,12,canonical_calculation,3,3,3,3,48,45,0,0,45,0,0,0,3,3,3,0,,,,,4.0
same_id,Lammaisten Energia Oy,12,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,27.0
same_id,Lammaisten Energia Oy,24,canonical_calculation,3,3,3,3,48,45,0,0,45,0,0,0,3,3,3,0,,,,,4.0
same_id,Lammaisten Energia Oy,24,observed_seller_data,2,2,2,2,110,108,0,0,108,0,0,0,2,2,2,0,,,,,55.0
same_id,Lumme Energia,6,observed_seller_data,14,11,14,11,86,72,0,0,72,0,0,0,14,14,14,0,,,,,7.0
same_id,Lumme Energia,12,canonical_calculation,3,3,3,3,22,19,0,0,19,0,0,0,3,3,3,0,,,,,7.0
same_id,Lumme Energia,12,observed_seller_data,14,14,14,14,110,96,0,0,96,0,0,0,14,14,14,0,,,,,7.0
same_id,Lumme Energia,24,canonical_calculation,4,4,4,4,21,17,0,0,17,0,0,0,4,4,4,0,,,,,5.5
same_id,Lumme Energia,24,observed_seller_data,17,16,17,16,110,93,0,0,93,0,0,0,17,17,17,0,,,,,7.0
same_id,Nurmijärven Sähkö Oy,12,canonical_calculation,2,2,2,2,49,47,0,0,47,0,0,0,2,2,2,0,,,,,24.5
same_id,Nurmijärven Sähkö Oy,12,observed_seller_data,2,2,2,2,110,108,0,0,108,0,0,0,2,2,2,0,,,,,55.0
same_id,Nurmijärven Sähkö Oy,24,canonical_calculation,2,2,2,2,49,47,0,0,47,0,0,0,2,2,2,0,,,,,24.5
same_id,Nurmijärven Sähkö Oy,24,observed_seller_data,2,2,2,2,110,108,0,0,108,0,0,0,2,2,2,0,,,,,55.0
same_id,Omavoima Oy,12,canonical_calculation,4,3,4,3,48,44,0,0,44,0,0,0,4,4,4,0,,,,,9.5
same_id,Omavoima Oy,12,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,42.0
same_id,Omavoima Oy,24,canonical_calculation,3,2,3,2,48,45,0,0,45,0,0,0,3,3,3,0,,,,,10.0
same_id,Omavoima Oy,24,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,42.0
same_id,Oomi Oy,6,observed_seller_data,9,9,9,9,77,68,0,0,68,0,0,0,9,9,9,0,,,,,7.0
same_id,Oomi Oy,12,canonical_calculation,5,5,5,5,49,44,0,0,44,0,0,0,5,5,5,0,,,,,7.0
same_id,Oomi Oy,12,observed_seller_data,13,13,13,13,109,96,0,0,96,0,0,0,13,13,13,0,,,,,7.0
same_id,Oomi Oy,24,canonical_calculation,6,6,6,6,48,42,0,0,42,0,0,0,6,6,6,0,,,,,6.5
same_id,Oomi Oy,24,observed_seller_data,15,15,15,15,109,94,0,0,94,0,0,0,15,15,15,0,,,,,7.0
same_id,Paneliankosken Voima Oy,12,canonical_calculation,3,3,3,3,46,43,0,0,43,0,0,0,3,3,3,0,,,,,20.0
same_id,Paneliankosken Voima Oy,12,observed_seller_data,4,4,4,4,110,106,0,0,106,0,0,0,4,4,4,0,,,,,21.5
same_id,Paneliankosken Voima Oy,24,canonical_calculation,3,3,3,3,47,44,0,0,44,0,0,0,3,3,3,0,,,,,20.0
same_id,Paneliankosken Voima Oy,24,observed_seller_data,5,5,5,5,110,105,0,0,105,0,0,0,5,5,5,0,,,,,22.0
same_id,Pohjois-Karjalan Sähkö Oy,6,canonical_calculation,4,4,4,4,52,48,0,0,48,0,0,0,4,4,4,0,,,,,11.5
same_id,Pohjois-Karjalan Sähkö Oy,6,observed_seller_data,4,4,4,4,129,125,0,0,125,0,0,0,4,4,4,0,,,,,29.0
same_id,Pohjois-Karjalan Sähkö Oy,12,canonical_calculation,3,3,3,3,52,49,0,0,49,0,0,0,3,3,3,0,,,,,17.0
same_id,Pohjois-Karjalan Sähkö Oy,12,observed_seller_data,4,4,4,4,112,108,0,0,108,0,0,0,4,4,4,0,,,,,29.0
same_id,Pohjois-Karjalan Sähkö Oy,24,canonical_calculation,2,2,2,2,49,47,0,0,47,0,0,0,2,2,2,0,,,,,24.5
same_id,Pohjois-Karjalan Sähkö Oy,24,observed_seller_data,3,3,3,3,111,108,0,0,108,0,0,0,3,3,3,0,,,,,28.0
same_id,Porvoon Energia Oy,6,observed_seller_data,4,4,4,4,70,66,0,0,66,0,0,0,4,4,4,0,,,,,20.0
same_id,Porvoon Energia Oy,12,canonical_calculation,12,12,12,12,147,135,0,0,135,0,0,0,12,12,12,0,,,,,6.0
same_id,Porvoon Energia Oy,12,observed_seller_data,33,33,33,33,330,297,0,0,297,0,0,0,33,33,33,0,,,,,7.0
same_id,Porvoon Energia Oy,24,canonical_calculation,12,12,12,12,155,143,0,0,143,0,0,0,12,12,12,0,,,,,4.0
same_id,Porvoon Energia Oy,24,observed_seller_data,29,29,29,29,330,301,0,0,301,0,0,0,29,29,29,0,,,,,10.0
same_id,Sähkötytöt Oy,6,observed_seller_data,1,1,1,1,42,41,0,0,41,0,0,0,1,1,1,0,,,,,42.0
same_id,Sähkötytöt Oy,12,observed_seller_data,1,1,1,1,56,55,0,0,55,0,0,0,1,1,1,0,,,,,56.0
same_id,Sähkötytöt Oy,24,observed_seller_data,1,1,1,1,51,50,0,0,50,0,0,0,1,1,1,0,,,,,51.0
same_id,Turku Energia Oy,6,canonical_calculation,5,4,5,4,48,43,0,0,43,0,0,0,5,5,5,0,,,,,13.0
same_id,Turku Energia Oy,6,observed_seller_data,6,6,6,6,104,98,0,0,98,0,0,0,6,6,6,0,,,,,14.5
same_id,Turku Energia Oy,12,canonical_calculation,5,4,5,4,48,43,0,0,43,0,0,0,5,5,5,0,,,,,9.0
same_id,Turku Energia Oy,12,observed_seller_data,5,5,5,5,110,105,0,0,105,0,0,0,5,5,5,0,,,,,15.0
same_id,Turku Energia Oy,24,canonical_calculation,6,5,6,5,50,44,0,0,44,0,0,0,6,6,6,0,,,,,9.0
same_id,Turku Energia Oy,24,observed_seller_data,5,5,5,5,76,71,0,0,71,0,0,0,5,5,5,0,,,,,17.0
same_id,Vaasan Sähkö Myynti Oy,6,canonical_calculation,4,4,4,4,48,44,0,0,44,0,0,0,4,4,4,0,,,,,11.0
same_id,Vaasan Sähkö Myynti Oy,6,observed_seller_data,10,10,10,10,110,100,0,0,100,0,0,0,10,10,10,0,,,,,9.5
same_id,Vaasan Sähkö Myynti Oy,12,canonical_calculation,3,3,3,3,28,25,0,0,25,0,0,0,3,3,3,0,,,,,7.0
same_id,Vaasan Sähkö Myynti Oy,12,observed_seller_data,14,14,14,14,110,96,0,0,96,0,0,0,14,14,14,0,,,,,7.0
same_id,Vaasan Sähkö Myynti Oy,24,canonical_calculation,4,4,4,4,48,44,0,0,44,0,0,0,4,4,4,0,,,,,11.0
same_id,Vaasan Sähkö Myynti Oy,24,observed_seller_data,12,12,12,12,110,98,0,0,98,0,0,0,12,12,12,0,,,,,7.0
same_id,Vattenfall Oy,6,canonical_calculation,1,1,1,1,11,10,0,0,10,0,0,0,1,1,1,0,,,,,11.0
same_id,Vattenfall Oy,6,observed_seller_data,6,6,6,6,100,94,0,0,94,0,0,0,6,6,6,0,,,,,17.5
same_id,Vattenfall Oy,12,canonical_calculation,15,15,15,15,123,108,0,0,108,0,0,0,15,15,15,0,,,,,4.0
same_id,Vattenfall Oy,12,observed_seller_data,22,20,22,20,329,307,0,0,307,4,0,0,22,22,22,0,,,,,14.5
same_id,Vattenfall Oy,24,canonical_calculation,15,15,15,15,141,126,0,0,126,0,0,0,15,15,15,0,,,,,9.0
same_id,Vattenfall Oy,24,observed_seller_data,30,28,30,28,331,301,0,0,301,2,0,0,30,30,30,0,,,,,11.5
same_id,Vihreä Älyenergia Oy,12,canonical_calculation,3,3,3,3,60,57,0,0,57,0,0,0,3,3,3,0,,,,,11.0
same_id,Vihreä Älyenergia Oy,12,observed_seller_data,10,10,10,10,222,212,0,0,212,0,0,0,10,10,10,0,,,,,7.0
same_id,Vihreä Älyenergia Oy,24,canonical_calculation,3,3,3,3,60,57,0,0,57,0,0,0,3,3,3,0,,,,,11.0
same_id,Vihreä Älyenergia Oy,24,observed_seller_data,8,8,8,8,220,212,0,0,212,0,0,0,8,8,8,0,,,,,15.0
same_id,Väre Oy,6,observed_seller_data,3,2,3,2,15,12,0,0,12,0,0,0,3,3,3,0,,,,,6.0
same_id,Väre Oy,12,observed_seller_data,3,2,3,2,15,12,0,0,12,0,0,0,3,3,3,0,,,,,6.0
same_id,Väre Oy,24,observed_seller_data,3,2,3,2,15,12,0,0,12,0,0,0,3,3,3,0,,,,,6.0
same_id,Äänekosken Energia Oy,6,canonical_calculation,3,3,3,3,32,29,0,0,29,0,0,0,3,3,3,0,,,,,10.0
same_id,Äänekosken Energia Oy,6,observed_seller_data,6,6,6,6,110,104,0,0,104,0,0,0,6,6,6,0,,,,,20.0
same_id,Äänekosken Energia Oy,12,canonical_calculation,3,3,3,3,47,44,0,0,44,0,0,0,3,3,3,0,,,,,4.0
same_id,Äänekosken Energia Oy,12,observed_seller_data,5,5,5,5,110,105,0,0,105,0,0,0,5,5,5,0,,,,,12.0
same_id,Äänekosken Energia Oy,24,canonical_calculation,3,3,3,3,48,45,0,0,45,0,0,0,3,3,3,0,,,,,10.0
same_id,Äänekosken Energia Oy,24,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,40.0
same_id_no_discount,ALL,ALL,ALL,677,654,677,654,9174,8497,0,0,8497,6,0,0,677,677,677,0,,,,,7.0
same_id_no_discount,Alajärven Sähkö Oy,12,canonical_calculation,2,2,2,2,49,47,0,0,47,0,0,0,2,2,2,0,,,,,24.5
same_id_no_discount,Alajärven Sähkö Oy,12,observed_seller_data,2,2,2,2,110,108,0,0,108,0,0,0,2,2,2,0,,,,,55.0
same_id_no_discount,Alajärven Sähkö Oy,24,canonical_calculation,2,2,2,2,49,47,0,0,47,0,0,0,2,2,2,0,,,,,24.5
same_id_no_discount,Alajärven Sähkö Oy,24,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,50.0
same_id_no_discount,Cheap Energy Finland Oy,6,observed_seller_data,2,2,2,2,33,31,0,0,31,0,0,0,2,2,2,0,,,,,16.5
same_id_no_discount,Cheap Energy Finland Oy,12,canonical_calculation,1,1,1,1,9,8,0,0,8,0,0,0,1,1,1,0,,,,,9.0
same_id_no_discount,Cheap Energy Finland Oy,24,canonical_calculation,1,1,1,1,5,4,0,0,4,0,0,0,1,1,1,0,,,,,5.0
same_id_no_discount,Fortum Markets Oy,24,canonical_calculation,1,1,1,1,49,48,0,0,48,0,0,0,1,1,1,0,,,,,49.0
same_id_no_discount,Fortum Markets Oy,24,observed_seller_data,8,8,8,8,75,67,0,0,67,0,0,0,8,8,8,0,,,,,7.0
same_id_no_discount,Hehku Energia Oy,6,observed_seller_data,5,5,5,5,63,58,0,0,58,0,0,0,5,5,5,0,,,,,9.0
same_id_no_discount,Hehku Energia Oy,24,canonical_calculation,1,1,1,1,5,4,0,0,4,0,0,0,1,1,1,0,,,,,5.0
same_id_no_discount,Helen Oy,6,canonical_calculation,9,8,9,8,47,38,0,0,38,0,0,0,9,9,9,0,,,,,6.0
same_id_no_discount,Helen Oy,6,observed_seller_data,16,16,16,16,110,94,0,0,94,0,0,0,16,16,16,0,,,,,7.0
same_id_no_discount,Helen Oy,12,canonical_calculation,9,8,9,8,47,38,0,0,38,0,0,0,9,9,9,0,,,,,6.0
same_id_no_discount,Helen Oy,12,observed_seller_data,14,14,14,14,110,96,0,0,96,0,0,0,14,14,14,0,,,,,7.0
same_id_no_discount,Helen Oy,24,canonical_calculation,8,7,8,7,47,39,0,0,39,0,0,0,8,8,8,0,,,,,6.0
same_id_no_discount,Helen Oy,24,observed_seller_data,15,15,15,15,110,95,0,0,95,0,0,0,15,15,15,0,,,,,7.0
same_id_no_discount,Imatran Seudun Sähkö Oy,6,canonical_calculation,10,9,10,9,47,37,0,0,37,0,0,0,10,10,10,0,,,,,4.5
same_id_no_discount,Imatran Seudun Sähkö Oy,6,observed_seller_data,9,9,9,9,110,101,0,0,101,0,0,0,9,9,9,0,,,,,9.0
same_id_no_discount,Imatran Seudun Sähkö Oy,12,canonical_calculation,7,6,7,6,48,41,0,0,41,0,0,0,7,7,7,0,,,,,8.0
same_id_no_discount,Imatran Seudun Sähkö Oy,12,observed_seller_data,11,10,11,10,110,99,0,0,99,0,0,0,11,11,11,0,,,,,9.0
same_id_no_discount,Imatran Seudun Sähkö Oy,24,canonical_calculation,10,8,10,8,47,37,0,0,37,0,0,0,10,10,10,0,,,,,3.5
same_id_no_discount,Imatran Seudun Sähkö Oy,24,observed_seller_data,11,10,11,10,114,103,0,0,103,0,0,0,11,11,11,0,,,,,7.0
same_id_no_discount,Keravan Energia Oy,6,canonical_calculation,6,6,6,6,48,42,0,0,42,0,0,0,6,6,6,0,,,,,4.0
same_id_no_discount,Keravan Energia Oy,6,observed_seller_data,9,9,9,9,110,101,0,0,101,0,0,0,9,9,9,0,,,,,7.0
same_id_no_discount,Keravan Energia Oy,12,canonical_calculation,11,11,11,11,97,86,0,0,86,0,0,0,11,11,11,0,,,,,6.0
same_id_no_discount,Keravan Energia Oy,12,observed_seller_data,14,14,14,14,296,282,0,0,282,0,0,0,14,14,14,0,,,,,17.5
same_id_no_discount,Keravan Energia Oy,24,canonical_calculation,16,16,16,16,94,78,0,0,78,0,0,0,16,16,16,0,,,,,2.5
same_id_no_discount,Keravan Energia Oy,24,observed_seller_data,11,11,11,11,220,209,0,0,209,0,0,0,11,11,11,0,,,,,23.0
same_id_no_discount,Kokkolan Energia Oy,6,canonical_calculation,8,8,8,8,49,41,0,0,41,0,0,0,8,8,8,0,,,,,6.0
same_id_no_discount,Kokkolan Energia Oy,6,observed_seller_data,9,9,9,9,191,182,0,0,182,0,0,0,9,9,9,0,,,,,16.0
same_id_no_discount,Kokkolan Energia Oy,12,canonical_calculation,5,5,5,5,49,44,0,0,44,0,0,0,5,5,5,0,,,,,6.0
same_id_no_discount,Kokkolan Energia Oy,12,observed_seller_data,4,4,4,4,110,106,0,0,106,0,0,0,4,4,4,0,,,,,21.5
same_id_no_discount,Kokkolan Energia Oy,24,canonical_calculation,5,5,5,5,49,44,0,0,44,0,0,0,5,5,5,0,,,,,4.0
same_id_no_discount,Kokkolan Energia Oy,24,observed_seller_data,6,6,6,6,110,104,0,0,104,0,0,0,6,6,6,0,,,,,17.0
same_id_no_discount,Korpelan Energia Oy,12,canonical_calculation,4,4,4,4,47,43,0,0,43,0,0,0,4,4,4,0,,,,,7.5
same_id_no_discount,Korpelan Energia Oy,12,observed_seller_data,5,5,5,5,110,105,0,0,105,0,0,0,5,5,5,0,,,,,15.0
same_id_no_discount,Korpelan Energia Oy,24,canonical_calculation,2,2,2,2,12,10,0,0,10,0,0,0,2,2,2,0,,,,,6.0
same_id_no_discount,Köyliön-Säkylän Sähkö Oy,12,canonical_calculation,3,3,3,3,49,46,0,0,46,0,0,0,3,3,3,0,,,,,12.0
same_id_no_discount,Köyliön-Säkylän Sähkö Oy,12,observed_seller_data,3,3,3,3,111,108,0,0,108,0,0,0,3,3,3,0,,,,,10.0
same_id_no_discount,Köyliön-Säkylän Sähkö Oy,24,canonical_calculation,3,3,3,3,49,46,0,0,46,0,0,0,3,3,3,0,,,,,12.0
same_id_no_discount,Köyliön-Säkylän Sähkö Oy,24,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,9.0
same_id_no_discount,Lammaisten Energia Oy,6,observed_seller_data,1,1,1,1,27,26,0,0,26,0,0,0,1,1,1,0,,,,,27.0
same_id_no_discount,Lammaisten Energia Oy,12,canonical_calculation,3,3,3,3,48,45,0,0,45,0,0,0,3,3,3,0,,,,,4.0
same_id_no_discount,Lammaisten Energia Oy,12,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,27.0
same_id_no_discount,Lammaisten Energia Oy,24,canonical_calculation,3,3,3,3,48,45,0,0,45,0,0,0,3,3,3,0,,,,,4.0
same_id_no_discount,Lammaisten Energia Oy,24,observed_seller_data,2,2,2,2,110,108,0,0,108,0,0,0,2,2,2,0,,,,,55.0
same_id_no_discount,Lumme Energia,6,observed_seller_data,14,11,14,11,86,72,0,0,72,0,0,0,14,14,14,0,,,,,7.0
same_id_no_discount,Lumme Energia,12,canonical_calculation,3,3,3,3,22,19,0,0,19,0,0,0,3,3,3,0,,,,,7.0
same_id_no_discount,Lumme Energia,12,observed_seller_data,14,14,14,14,110,96,0,0,96,0,0,0,14,14,14,0,,,,,7.0
same_id_no_discount,Lumme Energia,24,canonical_calculation,1,1,1,1,3,2,0,0,2,0,0,0,1,1,1,0,,,,,3.0
same_id_no_discount,Lumme Energia,24,observed_seller_data,13,13,13,13,92,79,0,0,79,0,0,0,13,13,13,0,,,,,7.0
same_id_no_discount,Nurmijärven Sähkö Oy,12,canonical_calculation,2,2,2,2,49,47,0,0,47,0,0,0,2,2,2,0,,,,,24.5
same_id_no_discount,Nurmijärven Sähkö Oy,12,observed_seller_data,2,2,2,2,110,108,0,0,108,0,0,0,2,2,2,0,,,,,55.0
same_id_no_discount,Nurmijärven Sähkö Oy,24,canonical_calculation,2,2,2,2,49,47,0,0,47,0,0,0,2,2,2,0,,,,,24.5
same_id_no_discount,Nurmijärven Sähkö Oy,24,observed_seller_data,2,2,2,2,110,108,0,0,108,0,0,0,2,2,2,0,,,,,55.0
same_id_no_discount,Omavoima Oy,12,canonical_calculation,4,3,4,3,48,44,0,0,44,0,0,0,4,4,4,0,,,,,9.5
same_id_no_discount,Omavoima Oy,12,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,42.0
same_id_no_discount,Omavoima Oy,24,canonical_calculation,3,2,3,2,48,45,0,0,45,0,0,0,3,3,3,0,,,,,10.0
same_id_no_discount,Omavoima Oy,24,observed_seller_data,3,3,3,3,110,107,0,0,107,0,0,0,3,3,3,0,,,,,42.0
same_id_no_discount,Oomi Oy,6,observed_seller_data,9,9,9,9,77,68,0,0,68,0,0,0,9,9,9,0,,,,,7.0
same_id_no_discount,Oomi Oy,12,canonical_calculation,5,5,5,5,49,44,0,0,44,0,0,0,5,5,5,0,,,,,7.0
same_id_no_discount,Oomi Oy,12,observed_seller_data,13,13,13,13,109,96,0,0,96,0,0,0,13,13,13,0,,,,,7.0
same_id_no_discount,Oomi Oy,24,canonical_calculation,3,3,3,3,31,28,0,0,28,0,0,0,3,3,3,0,,,,,7.0
same_id_no_discount,Oomi Oy,24,observed_seller_data,12,12,12,12,91,79,0,0,79,0,0,0,12,12,12,0,,,,,7.0
same_id_no_discount,Paneliankosken Voima Oy,12,canonical_calculation,3,3,3,3,46,43,0,0,43,0,0,0,3,3,3,0,,,,,20.0
same_id_no_discount,Paneliankosken Voima Oy,12,observed_seller_data,4,4,4,4,110,106,0,0,106,0,0,0,4,4,4,0,,,,,21.5
same_id_no_discount,Paneliankosken Voima Oy,24,canonical_calculation,3,3,3,3,47,44,0,0,44,0,0,0,3,3,3,0,,,,,20.0
same_id_no_discount,Paneliankosken Voima Oy,24,observed_seller_data,5,5,5,5,110,105,0,0,105,0,0,0,5,5,5,0,,,,,22.0
same_id_no_discount,Pohjois-Karjalan Sähkö Oy,6,canonical_calculation,4,4,4,4,52,48,0,0,48,0,0,0,4,4,4,0,,,,,11.5
