date,term,price,trade,basket,missing,strip
2026-02-12,12,,,2026-03-01,no_prior_trade,[]
2026-02-12,24,,,2026-03-01,no_prior_trade,[]
2026-02-13,6,,,2026-03-01,no_prior_trade,[]
2026-02-13,12,,,2026-03-01,no_prior_trade,[]
2026-02-13,24,,,2026-03-01,no_prior_trade,[]
2026-02-14,6,,,2026-03-01,no_prior_trade,[]
2026-02-14,12,,,2026-03-01,no_prior_trade,[]
2026-02-14,24,,,2026-03-01,no_prior_trade,[]
2026-02-15,6,,,2026-03-01,no_prior_trade,[]
2026-02-15,12,,,2026-03-01,no_prior_trade,[]
2026-02-15,24,,,2026-03-01,no_prior_trade,[]
2026-02-16,6,,,2026-03-01,no_prior_trade,[]
2026-02-16,12,,,2026-03-01,no_prior_trade,[]
2026-02-16,24,,,2026-03-01,no_prior_trade,[]
2026-02-17,6,,,2026-03-01,no_prior_trade,[]
2026-02-17,12,,,2026-03-01,no_prior_trade,[]
2026-02-17,24,,,2026-03-01,no_prior_trade,[]
2026-02-18,6,,,2026-03-01,no_prior_trade,[]
2026-02-18,12,,,2026-03-01,no_prior_trade,[]
2026-02-18,24,,,2026-03-01,no_prior_trade,[]
2026-02-19,6,,,2026-03-01,no_prior_trade,[]
2026-02-19,12,,,2026-03-01,no_prior_trade,[]
2026-02-19,24,,,2026-03-01,no_prior_trade,[]
2026-02-20,6,,,2026-03-01,no_prior_trade,[]
2026-02-20,12,,,2026-03-01,no_prior_trade,[]
2026-02-20,24,,,2026-03-01,no_prior_trade,[]
2026-02-21,6,,,2026-03-01,no_prior_trade,[]
2026-02-21,12,,,2026-03-01,no_prior_trade,[]
2026-02-21,24,,,2026-03-01,no_prior_trade,[]
2026-02-22,6,,,2026-03-01,no_prior_trade,[]
2026-02-22,12,,,2026-03-01,no_prior_trade,[]
2026-02-22,24,,,2026-03-01,no_prior_trade,[]
2026-02-23,6,,,2026-03-01,no_prior_trade,[]
2026-02-23,12,,,2026-03-01,no_prior_trade,[]
2026-02-23,24,,,2026-03-01,no_prior_trade,[]
2026-02-24,6,,,2026-03-01,no_prior_trade,[]
2026-02-24,12,,,2026-03-01,no_prior_trade,[]
2026-02-24,24,,,2026-03-01,no_prior_trade,[]
2026-02-25,6,,,2026-03-01,no_prior_trade,[]
2026-02-25,12,,,2026-03-01,no_prior_trade,[]
2026-02-25,24,,,2026-03-01,no_prior_trade,[]
2026-02-26,6,,,2026-03-01,no_prior_trade,[]
2026-02-26,12,,,2026-03-01,no_prior_trade,[]
2026-02-26,24,,,2026-03-01,no_prior_trade,[]
2026-02-27,6,,,2026-03-01,no_prior_trade,[]
2026-02-27,12,,,2026-03-01,no_prior_trade,[]
2026-02-27,24,,,2026-03-01,no_prior_trade,[]
2026-02-28,6,,,2026-03-01,no_prior_trade,[]
2026-02-28,12,,,2026-03-01,no_prior_trade,[]
2026-02-28,24,,,2026-03-01,no_prior_trade,[]
2026-03-01,6,,,2026-04-01,no_prior_trade,[]
2026-03-01,12,,,2026-04-01,no_prior_trade,[]
2026-03-01,24,,,2026-04-01,no_prior_trade,[]
2026-03-02,6,,,2026-04-01,no_prior_trade,[]
2026-03-02,12,,,2026-04-01,no_prior_trade,[]
2026-03-02,24,,,2026-04-01,no_prior_trade,[]
2026-03-03,6,,,2026-04-01,no_prior_trade,[]
2026-03-03,12,,,2026-04-01,no_prior_trade,[]
2026-03-03,24,,,2026-04-01,no_prior_trade,[]
2026-03-04,6,,,2026-04-01,no_prior_trade,[]
2026-03-04,12,,,2026-04-01,no_prior_trade,[]
2026-03-04,24,,,2026-04-01,no_prior_trade,[]
2026-03-05,6,,,2026-04-01,no_prior_trade,[]
2026-03-05,12,,,2026-04-01,no_prior_trade,[]
2026-03-05,24,,,2026-04-01,no_prior_trade,[]
2026-03-06,6,,,2026-04-01,no_prior_trade,[]
2026-03-06,12,,,2026-04-01,no_prior_trade,[]
2026-03-06,24,,,2026-04-01,no_prior_trade,[]
2026-03-07,6,,,2026-04-01,no_prior_trade,[]
2026-03-07,12,,,2026-04-01,no_prior_trade,[]
2026-03-07,24,,,2026-04-01,no_prior_trade,[]
2026-03-08,6,,,2026-04-01,no_prior_trade,[]
2026-03-08,12,,,2026-04-01,no_prior_trade,[]
2026-03-08,24,,,2026-04-01,no_prior_trade,[]
2026-03-09,6,,,2026-04-01,no_prior_trade,[]
2026-03-09,12,,,2026-04-01,no_prior_trade,[]
2026-03-09,24,,,2026-04-01,no_prior_trade,[]
2026-03-10,6,,,2026-04-01,no_prior_trade,[]
2026-03-10,12,,,2026-04-01,no_prior_trade,[]
2026-03-10,24,,,2026-04-01,no_prior_trade,[]
2026-03-11,6,,,2026-04-01,no_prior_trade,[]
2026-03-11,12,,,2026-04-01,no_prior_trade,[]
2026-03-11,24,,,2026-04-01,no_prior_trade,[]
2026-03-12,6,,,2026-04-01,no_prior_trade,[]
2026-03-12,12,,,2026-04-01,no_prior_trade,[]
2026-03-12,24,,,2026-04-01,no_prior_trade,[]
2026-03-13,6,,,2026-04-01,no_prior_trade,[]
2026-03-13,12,,,2026-04-01,no_prior_trade,[]
2026-03-13,24,,,2026-04-01,no_prior_trade,[]
2026-03-14,6,,,2026-04-01,no_prior_trade,[]
2026-03-14,12,,,2026-04-01,no_prior_trade,[]
2026-03-14,24,,,2026-04-01,no_prior_trade,[]
2026-03-15,6,,,2026-04-01,no_prior_trade,[]
2026-03-15,12,,,2026-04-01,no_prior_trade,[]
2026-03-15,24,,,2026-04-01,no_prior_trade,[]
2026-03-16,6,,,2026-04-01,no_prior_trade,[]
2026-03-16,12,,,2026-04-01,no_prior_trade,[]
2026-03-16,24,,,2026-04-01,no_prior_trade,[]
2026-03-17,6,,,2026-04-01,no_prior_trade,[]
2026-03-17,12,,,2026-04-01,no_prior_trade,[]
2026-03-17,24,,,2026-04-01,no_prior_trade,[]
2026-03-18,6,,,2026-04-01,no_prior_trade,[]
2026-03-18,12,,,2026-04-01,no_prior_trade,[]
2026-03-18,24,,,2026-04-01,no_prior_trade,[]
2026-03-19,6,,,2026-04-01,no_prior_trade,[]
2026-03-19,12,,,2026-04-01,no_prior_trade,[]
2026-03-19,24,,,2026-04-01,no_prior_trade,[]
2026-03-20,6,,,2026-04-01,no_prior_trade,[]
2026-03-20,12,,,2026-04-01,no_prior_trade,[]
2026-03-20,24,,,2026-04-01,no_prior_trade,[]
2026-03-21,6,,,2026-04-01,no_prior_trade,[]
2026-03-21,12,,,2026-04-01,no_prior_trade,[]
2026-03-21,24,,,2026-04-01,no_prior_trade,[]
2026-03-22,6,,,2026-04-01,no_prior_trade,[]
2026-03-22,12,,,2026-04-01,no_prior_trade,[]
2026-03-22,24,,,2026-04-01,no_prior_trade,[]
2026-03-23,6,,,2026-04-01,no_prior_trade,[]
2026-03-23,12,,,2026-04-01,no_prior_trade,[]
2026-03-23,24,,,2026-04-01,no_prior_trade,[]
2026-03-24,6,,,2026-04-01,no_prior_trade,[]
2026-03-24,12,,,2026-04-01,no_prior_trade,[]
2026-03-24,24,,,2026-04-01,no_prior_trade,[]
2026-03-25,6,,,2026-04-01,no_prior_trade,[]
2026-03-25,12,,,2026-04-01,no_prior_trade,[]
2026-03-25,24,,,2026-04-01,no_prior_trade,[]
2026-03-26,6,,,2026-04-01,no_prior_trade,[]
2026-03-26,12,,,2026-04-01,no_prior_trade,[]
2026-03-26,24,,,2026-04-01,no_prior_trade,[]
2026-03-27,6,,,2026-04-01,no_prior_trade,[]
2026-03-27,12,,,2026-04-01,no_prior_trade,[]
2026-03-27,24,,,2026-04-01,no_prior_trade,[]
2026-03-28,6,,,2026-04-01,no_prior_trade,[]
2026-03-28,12,,,2026-04-01,no_prior_trade,[]
2026-03-28,24,,,2026-04-01,no_prior_trade,[]
2026-03-29,6,,,2026-04-01,no_prior_trade,[]
2026-03-29,12,,,2026-04-01,no_prior_trade,[]
2026-03-29,24,,,2026-04-01,no_prior_trade,[]
2026-03-30,6,,,2026-04-01,no_prior_trade,[]
2026-03-30,12,,,2026-04-01,no_prior_trade,[]
2026-03-30,24,,,2026-04-01,no_prior_trade,[]
2026-03-31,6,,,2026-04-01,no_prior_trade,[]
2026-03-31,12,,,2026-04-01,no_prior_trade,[]
2026-03-31,24,,,2026-04-01,no_prior_trade,[]
2026-04-01,6,,,2026-05-01,no_prior_trade,[]
2026-04-01,12,,,2026-05-01,no_prior_trade,[]
2026-04-01,24,,,2026-05-01,no_prior_trade,[]
2026-04-02,6,,,2026-05-01,no_prior_trade,[]
2026-04-02,12,,,2026-05-01,no_prior_trade,[]
2026-04-02,24,,,2026-05-01,no_prior_trade,[]
2026-04-03,6,,,2026-05-01,no_prior_trade,[]
2026-04-03,12,,,2026-05-01,no_prior_trade,[]
2026-04-03,24,,,2026-05-01,no_prior_trade,[]
2026-04-04,6,,,2026-05-01,no_prior_trade,[]
2026-04-04,12,,,2026-05-01,no_prior_trade,[]
2026-04-04,24,,,2026-05-01,no_prior_trade,[]
2026-04-05,6,,,2026-05-01,no_prior_trade,[]
2026-04-05,12,,,2026-05-01,no_prior_trade,[]
2026-04-05,24,,,2026-05-01,no_prior_trade,[]
2026-04-06,6,,,2026-05-01,no_prior_trade,[]
2026-04-06,12,,,2026-05-01,no_prior_trade,[]
2026-04-06,24,,,2026-05-01,no_prior_trade,[]
2026-04-07,6,,,2026-05-01,no_prior_trade,[]
2026-04-07,12,,,2026-05-01,no_prior_trade,[]
2026-04-07,24,,,2026-05-01,no_prior_trade,[]
2026-04-08,6,,,2026-05-01,no_prior_trade,[]
2026-04-08,12,,,2026-05-01,no_prior_trade,[]
2026-04-08,24,,,2026-05-01,no_prior_trade,[]
2026-04-09,6,5.674571168478261,2026-04-08,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":40.14},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":32.94},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":29.37},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":51.79},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":53.33},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":63.59}]"
2026-04-09,12,7.008009397260272,2026-04-08,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":40.14},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":32.94},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":29.37},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":51.79},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":53.33},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":63.59},{""month"":""2026-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202610"",""settlement"":66.67},{""month"":""2026-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202610"",""settlement"":66.67},{""month"":""2027-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.58},{""month"":""2027-02-01"",""days"":28,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.58},{""month"":""2027-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.58},{""month"":""2027-04-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.77}]"
2026-04-09,24,6.314420047879615,2026-04-08,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":40.14},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":32.94},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":29.37},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":51.79},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":53.33},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":63.59},{""month"":""2026-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202610"",""settlement"":66.67},{""month"":""2026-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202610"",""settlement"":66.67},{""month"":""2027-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.58},{""month"":""2027-02-01"",""days"":28,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.58},{""month"":""2027-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.58},{""month"":""2027-04-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.77},{""month"":""2027-05-01"",""days"":31,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.77},{""month"":""2027-06-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.77},{""month"":""2027-07-01"",""days"":31,""type"":""quarter"",""maturity"":""202707"",""settlement"":34.22},{""month"":""2027-08-01"",""days"":31,""type"":""quarter"",""maturity"":""202707"",""settlement"":34.22},{""month"":""2027-09-01"",""days"":30,""type"":""quarter"",""maturity"":""202707"",""settlement"":34.22},{""month"":""2027-10-01"",""days"":31,""type"":""quarter"",""maturity"":""202710"",""settlement"":44.93},{""month"":""2027-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202710"",""settlement"":44.93},{""month"":""2027-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202710"",""settlement"":44.93},{""month"":""2028-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202801"",""settlement"":65.38},{""month"":""2028-02-01"",""days"":29,""type"":""quarter"",""maturity"":""202801"",""settlement"":65.38},{""month"":""2028-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202801"",""settlement"":65.38},{""month"":""2028-04-01"",""days"":30,""type"":""year"",""maturity"":""202801"",""settlement"":42.98}]"
2026-04-10,6,5.6259399184782595,2026-04-09,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":39.23},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":31.52},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":30.19},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":51.47},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":52.89},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":63.5}]"
2026-04-10,12,7.001851301369863,2026-04-09,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":39.23},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":31.52},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":30.19},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":51.47},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":52.89},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":63.5},{""month"":""2026-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202610"",""settlement"":66.96},{""month"":""2026-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202610"",""settlement"":66.96},{""month"":""2027-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.92},{""month"":""2027-02-01"",""days"":28,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.92},{""month"":""2027-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.92},{""month"":""2027-04-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.94}]"
2026-04-10,24,6.2962903625171,2026-04-09,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":39.23},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":31.52},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":30.19},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":51.47},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":52.89},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":63.5},{""month"":""2026-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202610"",""settlement"":66.96},{""month"":""2026-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202610"",""settlement"":66.96},{""month"":""2027-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.92},{""month"":""2027-02-01"",""days"":28,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.92},{""month"":""2027-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":78.92},{""month"":""2027-04-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.94},{""month"":""2027-05-01"",""days"":31,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.94},{""month"":""2027-06-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.94},{""month"":""2027-07-01"",""days"":31,""type"":""quarter"",""maturity"":""202707"",""settlement"":33.36},{""month"":""2027-08-01"",""days"":31,""type"":""quarter"",""maturity"":""202707"",""settlement"":33.36},{""month"":""2027-09-01"",""days"":30,""type"":""quarter"",""maturity"":""202707"",""settlement"":33.36},{""month"":""2027-10-01"",""days"":31,""type"":""quarter"",""maturity"":""202710"",""settlement"":44.6},{""month"":""2027-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202710"",""settlement"":44.6},{""month"":""2027-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202710"",""settlement"":44.6},{""month"":""2028-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202801"",""settlement"":65.4},{""month"":""2028-02-01"",""days"":29,""type"":""quarter"",""maturity"":""202801"",""settlement"":65.4},{""month"":""2028-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202801"",""settlement"":65.4},{""month"":""2028-04-01"",""days"":30,""type"":""year"",""maturity"":""202801"",""settlement"":43.3}]"
2026-04-11,6,5.571442907608695,2026-04-10,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":39.38},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":31.2},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":29.62},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":50.89},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":52.2},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":62.9}]"
2026-04-11,12,6.91596116438356,2026-04-10,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":39.38},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":31.2},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":29.62},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":50.89},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":52.2},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":62.9},{""month"":""2026-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202610"",""settlement"":65.96},{""month"":""2026-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202610"",""settlement"":65.96},{""month"":""2027-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":77.88},{""month"":""2027-02-01"",""days"":28,""type"":""quarter"",""maturity"":""202701"",""settlement"":77.88},{""month"":""2027-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":77.88},{""month"":""2027-04-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.43}]"
2026-04-11,24,6.228571867305062,2026-04-10,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":39.38},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":31.2},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":29.62},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":50.89},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":52.2},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":62.9},{""month"":""2026-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202610"",""settlement"":65.96},{""month"":""2026-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202610"",""settlement"":65.96},{""month"":""2027-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":77.88},{""month"":""2027-02-01"",""days"":28,""type"":""quarter"",""maturity"":""202701"",""settlement"":77.88},{""month"":""2027-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":77.88},{""month"":""2027-04-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.43},{""month"":""2027-05-01"",""days"":31,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.43},{""month"":""2027-06-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.43},{""month"":""2027-07-01"",""days"":31,""type"":""quarter"",""maturity"":""202707"",""settlement"":32.94},{""month"":""2027-08-01"",""days"":31,""type"":""quarter"",""maturity"":""202707"",""settlement"":32.94},{""month"":""2027-09-01"",""days"":30,""type"":""quarter"",""maturity"":""202707"",""settlement"":32.94},{""month"":""2027-10-01"",""days"":31,""type"":""quarter"",""maturity"":""202710"",""settlement"":43.93},{""month"":""2027-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202710"",""settlement"":43.93},{""month"":""2027-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202710"",""settlement"":43.93},{""month"":""2028-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202801"",""settlement"":65.35},{""month"":""2028-02-01"",""days"":29,""type"":""quarter"",""maturity"":""202801"",""settlement"":65.35},{""month"":""2028-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202801"",""settlement"":65.35},{""month"":""2028-04-01"",""days"":30,""type"":""year"",""maturity"":""202801"",""settlement"":43.01}]"
2026-04-12,6,5.571442907608695,2026-04-10,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":39.38},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":31.2},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":29.62},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":50.89},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":52.2},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":62.9}]"
2026-04-12,12,6.91596116438356,2026-04-10,2026-05-01,,"[{""month"":""2026-05-01"",""days"":31,""type"":""month"",""maturity"":""202605"",""settlement"":39.38},{""month"":""2026-06-01"",""days"":30,""type"":""month"",""maturity"":""202606"",""settlement"":31.2},{""month"":""2026-07-01"",""days"":31,""type"":""month"",""maturity"":""202607"",""settlement"":29.62},{""month"":""2026-08-01"",""days"":31,""type"":""month"",""maturity"":""202608"",""settlement"":50.89},{""month"":""2026-09-01"",""days"":30,""type"":""month"",""maturity"":""202609"",""settlement"":52.2},{""month"":""2026-10-01"",""days"":31,""type"":""month"",""maturity"":""202610"",""settlement"":62.9},{""month"":""2026-11-01"",""days"":30,""type"":""quarter"",""maturity"":""202610"",""settlement"":65.96},{""month"":""2026-12-01"",""days"":31,""type"":""quarter"",""maturity"":""202610"",""settlement"":65.96},{""month"":""2027-01-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":77.88},{""month"":""2027-02-01"",""days"":28,""type"":""quarter"",""maturity"":""202701"",""settlement"":77.88},{""month"":""2027-03-01"",""days"":31,""type"":""quarter"",""maturity"":""202701"",""settlement"":77.88},{""month"":""2027-04-01"",""days"":30,""type"":""quarter"",""maturity"":""202704"",""settlement"":30.43}]"
