panel,company,term,basis,lag,screened,cohort,sample_days,distinct_retail_change_events,nonzero_pairs,correlation,sign_agreement,reportable,first_date,last_date
market,public_market,6,canonical_calculation,45,0,individual,42,23,42,-0.29916771705901224,0.5238095238095238,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,45,0,common_all_lags,42,23,42,-0.29916771705901224,0.5238095238095238,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,45,0,common_0_7_14,0,0,0,,,0,,
market,public_market,6,canonical_calculation,60,0,individual,42,23,42,-0.3367623754930069,0.6428571428571429,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,60,0,common_all_lags,42,23,42,-0.3367623754930069,0.6428571428571429,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,60,0,common_0_7_14,0,0,0,,,0,,
market,public_market,6,canonical_calculation,0,1,individual,30,17,30,0.08594679473488963,0.43333333333333335,1,2026-08-08,2026-09-13
market,public_market,6,canonical_calculation,0,1,common_all_lags,1,2,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,6,canonical_calculation,0,1,common_0_7_14,10,5,10,-0.4132665884802682,0.4,1,2026-08-22,2026-08-31
market,public_market,6,canonical_calculation,7,1,individual,29,18,29,-0.11788131762632678,0.4482758620689655,1,2026-08-03,2026-09-07
market,public_market,6,canonical_calculation,7,1,common_all_lags,1,2,1,,1.0,0,2026-08-29,2026-08-29
market,public_market,6,canonical_calculation,7,1,common_0_7_14,10,5,10,0.6759393558349382,0.9,1,2026-08-22,2026-08-31
market,public_market,6,canonical_calculation,14,1,individual,35,22,35,0.3440122617181396,0.5142857142857142,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,14,1,common_all_lags,1,2,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,6,canonical_calculation,14,1,common_0_7_14,10,5,10,0.20311076577064466,0.5,1,2026-08-22,2026-08-31
market,public_market,6,canonical_calculation,21,1,individual,35,23,35,0.7985440792974919,0.6,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,21,1,common_all_lags,1,2,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,6,canonical_calculation,21,1,common_0_7_14,0,0,0,,,0,,
market,public_market,6,canonical_calculation,30,1,individual,31,19,31,0.2859639230431065,0.5806451612903226,1,2026-08-07,2026-09-13
market,public_market,6,canonical_calculation,30,1,common_all_lags,1,2,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,6,canonical_calculation,30,1,common_0_7_14,0,0,0,,,0,,
market,public_market,6,canonical_calculation,45,1,individual,35,22,35,-0.8089274323277995,0.42857142857142855,1,2026-08-03,2026-09-13
market,public_market,6,canonical_calculation,45,1,common_all_lags,1,2,1,,1.0,0,2026-08-29,2026-08-29
market,public_market,6,canonical_calculation,45,1,common_0_7_14,0,0,0,,,0,,
market,public_market,6,canonical_calculation,60,1,individual,31,19,31,-0.090996143943925,0.5161290322580645,1,2026-08-07,2026-09-13
market,public_market,6,canonical_calculation,60,1,common_all_lags,1,2,1,,1.0,0,2026-08-29,2026-08-29
market,public_market,6,canonical_calculation,60,1,common_0_7_14,0,0,0,,,0,,
market,public_market,6,observed_seller_data,0,0,individual,102,41,98,0.07438653502126436,0.6938775510204082,1,2026-04-16,2026-07-26
market,public_market,6,observed_seller_data,0,0,common_all_lags,42,23,41,0.3411806546334868,0.9024390243902439,1,2026-06-15,2026-07-26
market,public_market,6,observed_seller_data,0,0,common_0_7_14,88,36,84,0.006762320503803689,0.7261904761904762,1,2026-04-30,2026-07-26
market,public_market,6,observed_seller_data,7,0,individual,95,39,91,0.5302521919829516,0.7912087912087912,1,2026-04-23,2026-07-26
market,public_market,6,observed_seller_data,7,0,common_all_lags,42,23,41,0.880446367670775,0.8048780487804879,1,2026-06-15,2026-07-26
market,public_market,6,observed_seller_data,7,0,common_0_7_14,88,36,84,0.512923688318244,0.7976190476190477,1,2026-04-30,2026-07-26
market,public_market,6,observed_seller_data,14,0,individual,88,36,84,-0.06995411288783965,0.5952380952380952,1,2026-04-30,2026-07-26
market,public_market,6,observed_seller_data,14,0,common_all_lags,42,23,41,0.18543890145174166,0.6097560975609756,1,2026-06-15,2026-07-26
market,public_market,6,observed_seller_data,14,0,common_0_7_14,88,36,84,-0.06995411288783965,0.5952380952380952,1,2026-04-30,2026-07-26
market,public_market,6,observed_seller_data,21,0,individual,81,35,77,-0.17426639174676106,0.4025974025974026,1,2026-05-07,2026-07-26
market,public_market,6,observed_seller_data,21,0,common_all_lags,42,23,41,-0.19273125127490426,0.24390243902439024,1,2026-06-15,2026-07-26
market,public_market,6,observed_seller_data,21,0,common_0_7_14,0,0,0,,,0,,
market,public_market,6,observed_seller_data,30,0,individual,72,34,68,0.17501465168176394,0.5588235294117647,1,2026-05-16,2026-07-26
market,public_market,6,observed_seller_data,30,0,common_all_lags,42,23,41,-0.2855736186385935,0.4878048780487805,1,2026-06-15,2026-07-26
market,public_market,6,observed_seller_data,30,0,common_0_7_14,0,0,0,,,0,,
market,public_market,6,observed_seller_data,45,0,individual,57,26,54,-0.25257470186794917,0.3888888888888889,1,2026-05-31,2026-07-26
market,public_market,6,observed_seller_data,45,0,common_all_lags,42,23,41,-0.42824251987196954,0.3170731707317073,1,2026-06-15,2026-07-26
market,public_market,6,observed_seller_data,45,0,common_0_7_14,0,0,0,,,0,,
market,public_market,6,observed_seller_data,60,0,individual,42,23,41,0.1310856822439201,0.5121951219512195,1,2026-06-15,2026-07-26
market,public_market,6,observed_seller_data,60,0,common_all_lags,42,23,41,0.1310856822439201,0.5121951219512195,1,2026-06-15,2026-07-26
market,public_market,6,observed_seller_data,60,0,common_0_7_14,0,0,0,,,0,,
market,public_market,6,observed_seller_data,0,1,individual,81,40,78,0.22434682236425613,0.6410256410256411,1,2026-04-16,2026-07-26
market,public_market,6,observed_seller_data,0,1,common_all_lags,1,1,1,,1.0,0,2026-06-29,2026-06-29
market,public_market,6,observed_seller_data,0,1,common_0_7_14,25,17,22,0.7995574798242946,0.6363636363636364,1,2026-04-30,2026-07-26
market,public_market,6,observed_seller_data,7,1,individual,74,38,70,0.4444759931578511,0.7285714285714285,1,2026-04-23,2026-07-26
market,public_market,6,observed_seller_data,7,1,common_all_lags,1,1,1,,1.0,0,2026-06-29,2026-06-29
market,public_market,6,observed_seller_data,7,1,common_0_7_14,25,17,22,0.8652064043581681,0.8181818181818182,1,2026-04-30,2026-07-26
market,public_market,6,observed_seller_data,14,1,individual,67,34,63,-0.08390788730323981,0.5238095238095238,1,2026-04-30,2026-07-26
market,public_market,6,observed_seller_data,14,1,common_all_lags,1,1,1,,1.0,0,2026-06-29,2026-06-29
market,public_market,6,observed_seller_data,14,1,common_0_7_14,25,17,22,0.6512290707288748,0.9545454545454546,1,2026-04-30,2026-07-26
market,public_market,6,observed_seller_data,21,1,individual,62,31,58,0.06940802072153791,0.3275862068965517,1,2026-05-07,2026-07-21
market,public_market,6,observed_seller_data,21,1,common_all_lags,1,1,1,,1.0,0,2026-06-29,2026-06-29
market,public_market,6,observed_seller_data,21,1,common_0_7_14,0,0,0,,,0,,
market,public_market,6,observed_seller_data,30,1,individual,58,33,56,0.32513398347195,0.5,1,2026-05-16,2026-07-26
market,public_market,6,observed_seller_data,30,1,common_all_lags,1,1,1,,0.0,0,2026-06-29,2026-06-29
market,public_market,6,observed_seller_data,30,1,common_0_7_14,0,0,0,,,0,,
market,public_market,6,observed_seller_data,45,1,individual,43,24,40,-0.17820952237162258,0.275,1,2026-05-31,2026-07-26
market,public_market,6,observed_seller_data,45,1,common_all_lags,1,1,1,,0.0,0,2026-06-29,2026-06-29
market,public_market,6,observed_seller_data,45,1,common_0_7_14,0,0,0,,,0,,
market,public_market,6,observed_seller_data,60,1,individual,35,23,35,0.44132897391378373,0.45714285714285713,1,2026-06-15,2026-07-26
market,public_market,6,observed_seller_data,60,1,common_all_lags,1,1,1,,0.0,0,2026-06-29,2026-06-29
market,public_market,6,observed_seller_data,60,1,common_0_7_14,0,0,0,,,0,,
market,public_market,12,canonical_calculation,0,0,individual,42,24,40,0.48583284341676425,0.675,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,0,0,common_all_lags,42,24,40,0.48583284341676425,0.675,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,0,0,common_0_7_14,42,24,40,0.48583284341676425,0.675,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,7,0,individual,42,24,40,0.39734913641776665,0.7,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,7,0,common_all_lags,42,24,40,0.39734913641776665,0.7,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,7,0,common_0_7_14,42,24,40,0.39734913641776665,0.7,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,14,0,individual,42,24,40,0.2358650530934327,0.675,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,14,0,common_all_lags,42,24,40,0.2358650530934327,0.675,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,14,0,common_0_7_14,42,24,40,0.2358650530934327,0.675,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,21,0,individual,42,24,40,0.5043520085010582,0.575,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,21,0,common_all_lags,42,24,40,0.5043520085010582,0.575,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,21,0,common_0_7_14,0,0,0,,,0,,
market,public_market,12,canonical_calculation,30,0,individual,42,24,40,-0.16145267322645224,0.4,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,30,0,common_all_lags,42,24,40,-0.16145267322645224,0.4,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,30,0,common_0_7_14,0,0,0,,,0,,
market,public_market,12,canonical_calculation,45,0,individual,42,24,40,-0.7533498342257902,0.275,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,45,0,common_all_lags,42,24,40,-0.7533498342257902,0.275,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,45,0,common_0_7_14,0,0,0,,,0,,
market,public_market,12,canonical_calculation,60,0,individual,42,24,40,0.23717023875803664,0.625,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,60,0,common_all_lags,42,24,40,0.23717023875803664,0.625,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,60,0,common_0_7_14,0,0,0,,,0,,
market,public_market,12,canonical_calculation,0,1,individual,30,19,28,0.5622323179696977,0.6428571428571429,1,2026-08-08,2026-09-13
market,public_market,12,canonical_calculation,0,1,common_all_lags,1,4,1,,1.0,0,2026-08-29,2026-08-29
market,public_market,12,canonical_calculation,0,1,common_0_7_14,10,8,9,-0.778861473294096,0.6666666666666666,1,2026-08-22,2026-08-31
market,public_market,12,canonical_calculation,7,1,individual,29,19,27,0.19912816072602607,0.6666666666666666,1,2026-08-03,2026-09-07
market,public_market,12,canonical_calculation,7,1,common_all_lags,1,4,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,12,canonical_calculation,7,1,common_0_7_14,10,8,9,0.5037096707695295,0.5555555555555556,1,2026-08-22,2026-08-31
market,public_market,12,canonical_calculation,14,1,individual,35,24,34,0.2777798351255427,0.7352941176470589,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,14,1,common_all_lags,1,4,1,,1.0,0,2026-08-29,2026-08-29
market,public_market,12,canonical_calculation,14,1,common_0_7_14,10,8,9,0.5171953634131399,0.7777777777777778,1,2026-08-22,2026-08-31
market,public_market,12,canonical_calculation,21,1,individual,35,24,34,0.5086000045311843,0.6176470588235294,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,21,1,common_all_lags,1,4,1,,1.0,0,2026-08-29,2026-08-29
market,public_market,12,canonical_calculation,21,1,common_0_7_14,0,0,0,,,0,,
market,public_market,12,canonical_calculation,30,1,individual,31,20,29,-0.4441324051280858,0.3793103448275862,1,2026-08-07,2026-09-13
market,public_market,12,canonical_calculation,30,1,common_all_lags,1,4,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,12,canonical_calculation,30,1,common_0_7_14,0,0,0,,,0,,
market,public_market,12,canonical_calculation,45,1,individual,35,24,34,-0.7259818267192087,0.29411764705882354,1,2026-08-03,2026-09-13
market,public_market,12,canonical_calculation,45,1,common_all_lags,1,4,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,12,canonical_calculation,45,1,common_0_7_14,0,0,0,,,0,,
market,public_market,12,canonical_calculation,60,1,individual,31,20,29,0.5500044100076849,0.7241379310344828,1,2026-08-07,2026-09-13
market,public_market,12,canonical_calculation,60,1,common_all_lags,1,4,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,12,canonical_calculation,60,1,common_0_7_14,0,0,0,,,0,,
market,public_market,12,observed_seller_data,0,0,individual,102,44,98,0.4558273390335398,0.5714285714285714,1,2026-04-16,2026-07-26
market,public_market,12,observed_seller_data,0,0,common_all_lags,42,22,39,0.6659286003160505,0.8461538461538461,1,2026-06-15,2026-07-26
market,public_market,12,observed_seller_data,0,0,common_0_7_14,88,37,85,0.49038300441451693,0.6352941176470588,1,2026-04-30,2026-07-26
market,public_market,12,observed_seller_data,7,0,individual,95,41,91,0.7167374771317548,0.7582417582417582,1,2026-04-23,2026-07-26
market,public_market,12,observed_seller_data,7,0,common_all_lags,42,22,39,0.910075426751165,0.9743589743589743,1,2026-06-15,2026-07-26
market,public_market,12,observed_seller_data,7,0,common_0_7_14,88,37,85,0.707067284426455,0.7529411764705882,1,2026-04-30,2026-07-26
market,public_market,12,observed_seller_data,14,0,individual,88,37,85,0.3709914553540693,0.7294117647058823,1,2026-04-30,2026-07-26
market,public_market,12,observed_seller_data,14,0,common_all_lags,42,22,39,0.38608786568673237,0.6923076923076923,1,2026-06-15,2026-07-26
market,public_market,12,observed_seller_data,14,0,common_0_7_14,88,37,85,0.3709914553540693,0.7294117647058823,1,2026-04-30,2026-07-26
market,public_market,12,observed_seller_data,21,0,individual,81,36,78,0.018857675871180132,0.5512820512820513,1,2026-05-07,2026-07-26
market,public_market,12,observed_seller_data,21,0,common_all_lags,42,22,39,-0.13235202113680083,0.41025641025641024,1,2026-06-15,2026-07-26
market,public_market,12,observed_seller_data,21,0,common_0_7_14,0,0,0,,,0,,
market,public_market,12,observed_seller_data,30,0,individual,72,33,69,-0.25231709670307634,0.5362318840579711,1,2026-05-16,2026-07-26
market,public_market,12,observed_seller_data,30,0,common_all_lags,42,22,39,-0.5535883023805868,0.358974358974359,1,2026-06-15,2026-07-26
market,public_market,12,observed_seller_data,30,0,common_0_7_14,0,0,0,,,0,,
market,public_market,12,observed_seller_data,45,0,individual,57,29,54,-0.5401128887093404,0.3333333333333333,1,2026-05-31,2026-07-26
market,public_market,12,observed_seller_data,45,0,common_all_lags,42,22,39,-0.5604162208771892,0.2564102564102564,1,2026-06-15,2026-07-26
market,public_market,12,observed_seller_data,45,0,common_0_7_14,0,0,0,,,0,,
market,public_market,12,observed_seller_data,60,0,individual,42,22,39,0.3072867245088263,0.4358974358974359,1,2026-06-15,2026-07-26
market,public_market,12,observed_seller_data,60,0,common_all_lags,42,22,39,0.3072867245088263,0.4358974358974359,1,2026-06-15,2026-07-26
market,public_market,12,observed_seller_data,60,0,common_0_7_14,0,0,0,,,0,,
market,public_market,12,observed_seller_data,0,1,individual,81,42,80,0.6325172313755972,0.6125,1,2026-04-16,2026-07-26
market,public_market,12,observed_seller_data,0,1,common_all_lags,1,2,1,,1.0,0,2026-06-29,2026-06-29
market,public_market,12,observed_seller_data,0,1,common_0_7_14,25,20,25,0.6863373664705141,0.64,1,2026-04-30,2026-07-26
market,public_market,12,observed_seller_data,7,1,individual,74,39,70,0.6821904208643406,0.7285714285714285,1,2026-04-23,2026-07-26
market,public_market,12,observed_seller_data,7,1,common_all_lags,1,2,1,,1.0,0,2026-06-29,2026-06-29
market,public_market,12,observed_seller_data,7,1,common_0_7_14,25,20,25,0.7730296198924453,0.76,1,2026-04-30,2026-07-26
market,public_market,12,observed_seller_data,14,1,individual,67,37,64,0.44189768179937616,0.703125,1,2026-04-30,2026-07-26
market,public_market,12,observed_seller_data,14,1,common_all_lags,1,2,1,,1.0,0,2026-06-29,2026-06-29
market,public_market,12,observed_seller_data,14,1,common_0_7_14,25,20,25,0.8150039533421197,0.96,1,2026-04-30,2026-07-26
market,public_market,12,observed_seller_data,21,1,individual,62,32,59,0.01692380698678388,0.4745762711864407,1,2026-05-07,2026-07-21
market,public_market,12,observed_seller_data,21,1,common_all_lags,1,2,1,,0.0,0,2026-06-29,2026-06-29
market,public_market,12,observed_seller_data,21,1,common_0_7_14,0,0,0,,,0,,
market,public_market,12,observed_seller_data,30,1,individual,58,32,58,-0.27544125821296855,0.5,1,2026-05-16,2026-07-26
market,public_market,12,observed_seller_data,30,1,common_all_lags,1,2,1,,0.0,0,2026-06-29,2026-06-29
market,public_market,12,observed_seller_data,30,1,common_0_7_14,0,0,0,,,0,,
market,public_market,12,observed_seller_data,45,1,individual,43,28,40,-0.6591459301349764,0.3,1,2026-05-31,2026-07-26
market,public_market,12,observed_seller_data,45,1,common_all_lags,1,2,1,,0.0,0,2026-06-29,2026-06-29
market,public_market,12,observed_seller_data,45,1,common_0_7_14,0,0,0,,,0,,
market,public_market,12,observed_seller_data,60,1,individual,35,21,35,0.3620705238554875,0.4857142857142857,1,2026-06-15,2026-07-26
market,public_market,12,observed_seller_data,60,1,common_all_lags,1,2,1,,0.0,0,2026-06-29,2026-06-29
market,public_market,12,observed_seller_data,60,1,common_0_7_14,0,0,0,,,0,,
market,public_market,24,canonical_calculation,0,0,individual,42,25,37,0.6107411724644441,0.5135135135135135,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,0,0,common_all_lags,42,25,37,0.6107411724644441,0.5135135135135135,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,0,0,common_0_7_14,42,25,37,0.6107411724644441,0.5135135135135135,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,7,0,individual,42,25,37,0.5888415348971576,0.7027027027027027,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,7,0,common_all_lags,42,25,37,0.5888415348971576,0.7027027027027027,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,7,0,common_0_7_14,42,25,37,0.5888415348971576,0.7027027027027027,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,14,0,individual,42,25,37,-0.23831408152097053,0.5675675675675675,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,14,0,common_all_lags,42,25,37,-0.23831408152097053,0.5675675675675675,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,14,0,common_0_7_14,42,25,37,-0.23831408152097053,0.5675675675675675,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,21,0,individual,42,25,37,0.19030362772646522,0.5405405405405406,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,21,0,common_all_lags,42,25,37,0.19030362772646522,0.5405405405405406,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,21,0,common_0_7_14,0,0,0,,,0,,
market,public_market,24,canonical_calculation,30,0,individual,42,25,37,-0.27991079220377113,0.5675675675675675,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,30,0,common_all_lags,42,25,37,-0.27991079220377113,0.5675675675675675,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,30,0,common_0_7_14,0,0,0,,,0,,
market,public_market,24,canonical_calculation,45,0,individual,42,25,37,-0.4486313860150946,0.4864864864864865,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,45,0,common_all_lags,42,25,37,-0.4486313860150946,0.4864864864864865,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,45,0,common_0_7_14,0,0,0,,,0,,
market,public_market,24,canonical_calculation,60,0,individual,42,25,37,0.2774696497823588,0.7297297297297297,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,60,0,common_all_lags,42,25,37,0.2774696497823588,0.7297297297297297,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,60,0,common_0_7_14,0,0,0,,,0,,
market,public_market,24,canonical_calculation,0,1,individual,30,19,25,0.7106904252944609,0.36,1,2026-08-08,2026-09-13
market,public_market,24,canonical_calculation,0,1,common_all_lags,1,1,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,24,canonical_calculation,0,1,common_0_7_14,10,4,9,-0.4784873116344137,0.1111111111111111,0,2026-08-22,2026-08-31
market,public_market,24,canonical_calculation,7,1,individual,29,20,25,0.3484048010351872,0.64,1,2026-08-03,2026-09-07
market,public_market,24,canonical_calculation,7,1,common_all_lags,1,1,1,,1.0,0,2026-08-29,2026-08-29
market,public_market,24,canonical_calculation,7,1,common_0_7_14,10,4,9,0.8371654619950258,1.0,0,2026-08-22,2026-08-31
market,public_market,24,canonical_calculation,14,1,individual,35,25,33,-0.18401482590479407,0.5454545454545454,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,14,1,common_all_lags,1,1,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,24,canonical_calculation,14,1,common_0_7_14,10,4,9,-0.4614062996992494,0.3333333333333333,0,2026-08-22,2026-08-31
market,public_market,24,canonical_calculation,21,1,individual,35,25,31,0.23804717631287103,0.6129032258064516,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,21,1,common_all_lags,1,1,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,24,canonical_calculation,21,1,common_0_7_14,0,0,0,,,0,,
market,public_market,24,canonical_calculation,30,1,individual,31,21,26,-0.4350147532960606,0.4230769230769231,1,2026-08-07,2026-09-13
market,public_market,24,canonical_calculation,30,1,common_all_lags,1,1,1,,0.0,0,2026-08-29,2026-08-29
market,public_market,24,canonical_calculation,30,1,common_0_7_14,0,0,0,,,0,,
market,public_market,24,canonical_calculation,45,1,individual,35,25,33,-0.3923034567774,0.45454545454545453,1,2026-08-03,2026-09-13
market,public_market,24,canonical_calculation,45,1,common_all_lags,1,1,1,,1.0,0,2026-08-29,2026-08-29
market,public_market,24,canonical_calculation,45,1,common_0_7_14,0,0,0,,,0,,
market,public_market,24,canonical_calculation,60,1,individual,31,21,26,0.5926163589002553,0.6538461538461539,1,2026-08-07,2026-09-13
market,public_market,24,canonical_calculation,60,1,common_all_lags,1,1,1,,1.0,0,2026-08-29,2026-08-29
market,public_market,24,canonical_calculation,60,1,common_0_7_14,0,0,0,,,0,,
market,public_market,24,observed_seller_data,0,0,individual,102,52,96,0.5158188661609586,0.6979166666666666,1,2026-04-16,2026-07-26
market,public_market,24,observed_seller_data,0,0,common_all_lags,42,26,42,0.6281655756026066,0.8809523809523809,1,2026-06-15,2026-07-26
market,public_market,24,observed_seller_data,0,0,common_0_7_14,88,47,82,0.48396850579116074,0.7317073170731707,1,2026-04-30,2026-07-26
market,public_market,24,observed_seller_data,7,0,individual,95,50,89,0.5715827956484641,0.8426966292134831,1,2026-04-23,2026-07-26
market,public_market,24,observed_seller_data,7,0,common_all_lags,42,26,42,0.6088237393344624,0.9285714285714286,1,2026-06-15,2026-07-26
market,public_market,24,observed_seller_data,7,0,common_0_7_14,88,47,82,0.5392093903601993,0.8292682926829268,1,2026-04-30,2026-07-26
market,public_market,24,observed_seller_data,14,0,individual,88,47,82,0.4570064397294853,0.6463414634146342,1,2026-04-30,2026-07-26
market,public_market,24,observed_seller_data,14,0,common_all_lags,42,26,42,0.5777335455254078,0.5952380952380952,1,2026-06-15,2026-07-26
market,public_market,24,observed_seller_data,14,0,common_0_7_14,88,47,82,0.4570064397294853,0.6463414634146342,1,2026-04-30,2026-07-26
market,public_market,24,observed_seller_data,21,0,individual,81,47,81,-0.02670735362865384,0.5185185185185185,1,2026-05-07,2026-07-26
market,public_market,24,observed_seller_data,21,0,common_all_lags,42,26,42,0.0189284171367948,0.38095238095238093,1,2026-06-15,2026-07-26
market,public_market,24,observed_seller_data,21,0,common_0_7_14,0,0,0,,,0,,
market,public_market,24,observed_seller_data,30,0,individual,72,44,72,-0.36046684671653517,0.5277777777777778,1,2026-05-16,2026-07-26
market,public_market,24,observed_seller_data,30,0,common_all_lags,42,26,42,-0.5226072311585285,0.35714285714285715,1,2026-06-15,2026-07-26
market,public_market,24,observed_seller_data,30,0,common_0_7_14,0,0,0,,,0,,
market,public_market,24,observed_seller_data,45,0,individual,57,35,57,-0.052179052922425195,0.38596491228070173,1,2026-05-31,2026-07-26
market,public_market,24,observed_seller_data,45,0,common_all_lags,42,26,42,-0.06538907169712022,0.3333333333333333,1,2026-06-15,2026-07-26
market,public_market,24,observed_seller_data,45,0,common_0_7_14,0,0,0,,,0,,
market,public_market,24,observed_seller_data,60,0,individual,42,26,42,0.043108546908930366,0.47619047619047616,1,2026-06-15,2026-07-26
market,public_market,24,observed_seller_data,60,0,common_all_lags,42,26,42,0.043108546908930366,0.47619047619047616,1,2026-06-15,2026-07-26
market,public_market,24,observed_seller_data,60,0,common_0_7_14,0,0,0,,,0,,
market,public_market,24,observed_seller_data,0,1,individual,81,50,80,0.7234600838964709,0.6875,1,2026-04-16,2026-07-26
market,public_market,24,observed_seller_data,0,1,common_all_lags,1,3,1,,1.0,0,2026-06-29,2026-06-29
market,public_market,24,observed_seller_data,0,1,common_0_7_14,25,21,24,0.7561055355953865,0.625,1,2026-04-30,2026-07-26
market,public_market,24,observed_seller_data,7,1,individual,74,48,68,0.6008757092507924,0.7941176470588235,1,2026-04-23,2026-07-26
market,public_market,24,observed_seller_data,7,1,common_all_lags,1,3,1,,1.0,0,2026-06-29,2026-06-29
market,public_market,24,observed_seller_data,7,1,common_0_7_14,25,21,24,0.8153430176123031,0.75,1,2026-04-30,2026-07-26
market,public_market,24,observed_seller_data,14,1,individual,67,45,61,0.4408995801455166,0.639344262295082,1,2026-04-30,2026-07-26
